Metodo,Serie,K,Iteraciones,Tiempo_s,MSE_Medio,Varianza,Std_Dev
Random Search Serie,TS1.txt,9,5,0.001205,1.516696,0.053138,0.230516
Random Search Serie,TS1.txt,9,10,0.001861,1.317139,0.086502,0.294112
Random Search Serie,TS1.txt,9,15,0.002286,1.347008,0.046421,0.215455
Random Search Serie,TS1.txt,9,20,0.002187,1.393057,0.024715,0.157211
Random Search Serie,TS1.txt,9,25,0.003799,1.322444,0.036807,0.191851
Random Search Serie,TS1.txt,9,30,0.003958,1.346126,0.030959,0.175950
Random Search Serie,TS1.txt,9,35,0.005704,1.364699,0.025226,0.158826
Random Search Serie,TS1.txt,9,40,0.005573,1.327012,0.023093,0.151965
Random Search Serie,TS1.txt,9,45,0.008487,1.194616,0.024498,0.156519
Random Search Serie,TS1.txt,9,50,0.007421,1.172722,0.084205,0.290182
Random Search Serie,TS1.txt,9,55,0.007611,1.250749,0.031958,0.178768
Random Search Serie,TS1.txt,9,60,0.009831,1.115703,0.054142,0.232684
Random Search Serie,TS1.txt,9,65,0.009449,1.049023,0.038736,0.196815
Random Search Serie,TS1.txt,9,70,0.010891,1.200337,0.044380,0.210665
Random Search Serie,TS1.txt,9,75,0.009782,1.197297,0.068565,0.261849
Random Search Serie,TS1.txt,9,80,0.012539,1.099605,0.043536,0.208653
Random Search Serie,TS1.txt,9,85,0.013121,1.268979,0.011939,0.109267
Random Search Serie,TS1.txt,9,90,0.016209,1.116357,0.015535,0.124638
Random Search Serie,TS1.txt,9,95,0.013407,1.093671,0.032990,0.181632
Random Search Serie,TS1.txt,9,100,0.016089,0.990539,0.006419,0.080120
Random Search Serie,TS1.txt,9,5,0.001139,1.563811,0.051895,0.227805
Random Search Serie,TS1.txt,9,10,0.001553,1.453259,0.033081,0.181882
Random Search Serie,TS1.txt,9,15,0.002553,1.219006,0.037070,0.192535
Random Search Serie,TS1.txt,9,20,0.003322,1.217299,0.066421,0.257723
Random Search Serie,TS1.txt,9,25,0.003771,1.316610,0.116124,0.340769
Random Search Serie,TS1.txt,9,30,0.004641,1.251587,0.057781,0.240376
Random Search Serie,TS1.txt,9,35,0.005498,1.288152,0.018660,0.136603
Random Search Serie,TS1.txt,9,40,0.005192,1.220710,0.070093,0.264751
Random Search Serie,TS1.txt,9,45,0.006452,1.140538,0.005132,0.071638
Random Search Serie,TS1.txt,9,50,0.006813,1.082994,0.047309,0.217507
Random Search Serie,TS1.txt,9,55,0.008116,1.094787,0.005183,0.071993
Random Search Serie,TS1.txt,9,60,0.008904,1.132886,0.068552,0.261825
Random Search Serie,TS1.txt,9,65,0.009404,1.137447,0.023716,0.154000
Random Search Serie,TS1.txt,9,70,0.010299,1.075731,0.024861,0.157674
Random Search Serie,TS1.txt,9,75,0.012632,1.047648,0.047992,0.219071
Random Search Serie,TS1.txt,9,80,0.012119,1.148727,0.026127,0.161639
Random Search Serie,TS1.txt,9,85,0.011323,1.041351,0.041596,0.203951
Random Search Serie,TS1.txt,9,90,0.015467,1.071311,0.046083,0.214670
Random Search Serie,TS1.txt,9,95,0.013817,1.231127,0.023370,0.152874
Random Search Serie,TS1.txt,9,100,0.013037,1.162233,0.090112,0.300187
Random Search Serie,TS1.txt,9,5,0.001153,1.557799,0.163921,0.404871
Random Search Serie,TS1.txt,9,10,0.001617,1.684930,0.035408,0.188170
Random Search Serie,TS1.txt,9,15,0.002349,1.371627,0.125301,0.353979
Random Search Serie,TS1.txt,9,20,0.002533,1.286448,0.076265,0.276161
Random Search Serie,TS1.txt,9,25,0.003344,1.239008,0.032773,0.181034
Random Search Serie,TS1.txt,9,30,0.003996,1.263016,0.025535,0.159796
Random Search Serie,TS1.txt,9,35,0.004952,1.222670,0.079047,0.281153
Random Search Serie,TS1.txt,9,40,0.004919,1.228239,0.028337,0.168335
Random Search Serie,TS1.txt,9,45,0.006246,1.166794,0.045718,0.213818
Random Search Serie,TS1.txt,9,50,0.007275,1.193685,0.009153,0.095673
Random Search Serie,TS1.txt,9,55,0.008006,1.222425,0.035281,0.187833
Random Search Serie,TS1.txt,9,60,0.008017,1.281987,0.024938,0.157918
Random Search Serie,TS1.txt,9,65,0.009377,1.067545,0.012822,0.113234
Random Search Serie,TS1.txt,9,70,0.009864,1.227466,0.082415,0.287080
Random Search Serie,TS1.txt,9,75,0.009938,1.089182,0.069706,0.264019
Random Search Serie,TS1.txt,9,80,0.010071,1.017603,0.032909,0.181409
Random Search Serie,TS1.txt,9,85,0.011638,1.090570,0.007155,0.084586
Random Search Serie,TS1.txt,9,90,0.012670,0.982460,0.011774,0.108509
Random Search Serie,TS1.txt,9,95,0.012542,1.311056,0.006956,0.083405
Random Search Serie,TS1.txt,9,100,0.012074,1.038735,0.152426,0.390417
RS Paralelo_MAX,TS1.txt,9,13648,226.881704,0.397589,0.000000,0.000000
RS Serie,TS1.txt,9,5,0.002253,1.619504,0.024837,0.157596
RS Serie,TS1.txt,9,10,0.001514,1.640623,0.058050,0.240935
RS Serie,TS1.txt,9,15,0.002622,1.493740,0.032002,0.178890
RS Serie,TS1.txt,9,20,0.003038,1.457701,0.017752,0.133237
RS Serie,TS1.txt,9,25,0.003260,1.367815,0.060361,0.245684
RS Serie,TS1.txt,9,30,0.003904,1.245907,0.053298,0.230864
RS Serie,TS1.txt,9,35,0.005958,1.240391,0.023802,0.154279
RS Serie,TS1.txt,9,40,0.005750,1.067341,0.015133,0.123016
RS Serie,TS1.txt,9,45,0.006375,1.238167,0.030643,0.175052
RS Serie,TS1.txt,9,50,0.007935,1.127137,0.037390,0.193366
RS Serie,TS1.txt,9,55,0.007911,1.288752,0.039408,0.198513
RS Serie,TS1.txt,9,60,0.007848,1.116352,0.104160,0.322739
RS Serie,TS1.txt,9,65,0.009306,0.997574,0.068573,0.261864
RS Serie,TS1.txt,9,70,0.010191,1.117589,0.059352,0.243622
RS Serie,TS1.txt,9,75,0.010725,1.106933,0.021455,0.146476
RS Serie,TS1.txt,9,80,0.009099,1.073394,0.057307,0.239389
RS Serie,TS1.txt,9,85,0.012374,0.989475,0.077042,0.277564
RS Serie,TS1.txt,9,90,0.014413,1.010835,0.008722,0.093394
RS Serie,TS1.txt,9,95,0.015639,1.130516,0.028345,0.168358
RS Serie,TS1.txt,9,100,0.013781,1.119447,0.033699,0.183574
